"12531800","JE434143","2021-11-04T18:24:00.000","074XX S LAFAYETTE AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","ALLEY",FALSE,FALSE,"0731","007","6","69","04A","1177130","1855548","2021","2021-11-11T15:51:52.000","41.758958799","-87.626390884",41.758958799,-87.626390884,{"address": "", "city": "", "state": "", "zip": ""},"31","21559","67","494","32","11","17","210"
"12531847","JE434130","2021-11-04T18:15:00.000","067XX S CREGIER AVE","0560","ASSAULT","SIMPLE","RESIDENCE",FALSE,FALSE,"0332","003","5","43","08A","1189364","1860576","2021","2021-11-11T15:51:52.000","41.772471421","-87.58139343",41.772471421,-87.58139343,{"address": "", "city": "", "state": "", "zip": ""},"32","22538","39","381","33","24","18","212"
"12532797","JE434153","2021-11-04T18:09:00.000","054XX W WALTON ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE",FALSE,FALSE,"1524","015","37","25","05","1139704","1905798","2021","2021-11-11T15:51:52.000","41.897614661","-87.762332997",41.897614661,-87.762332997,{"address": "", "city": "", "state": "", "zip": ""},"4","4299","26","562","45","5","25","67"
"12536666","JE439971","2021-11-04T18:00:00.000","074XX S LUELLA AVE","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT",FALSE,FALSE,"0333","003","7","43","05",,,"2021","2021-11-11T15:51:52.000",,,,,,,,,,,,,
"12533401","JE434240","2021-11-04T18:00:00.000","068XX S GREEN ST","051A","ASSAULT","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0723","007","6","68","04A","1171814","1859594","2021","2021-11-11T15:51:52.000","41.770179749","-87.645755147",41.770179749,-87.645755147,{"address": "", "city": "", "state": "", "zip": ""},"31","21559","66","410","32","11","17","202"
"12531811","JE434114","2021-11-04T17:56:00.000","028XX N MILWAUKEE AVE","0560","ASSAULT","SIMPLE","SIDEWALK",FALSE,FALSE,"1412","014","35","21","08A","1152489","1919043","2021","2021-11-11T15:51:52.000","41.933717021","-87.715024046",41.933717021,-87.715024046,{"address": "", "city": "", "state": "", "zip": ""},"15","21538","22","55","12","39","7","168"
"12532015","JE434172","2021-11-04T17:40:00.000","050XX S LAKE SHORE DR SB","0520","ASSAULT","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","BRIDGE",TRUE,FALSE,"0222","002","5","39","04A","1189103","1871931","2021","2021-11-11T15:51:52.000","41.803636635","-87.581986417",41.803636635,-87.581986417,{"address": "", "city": "", "state": "", "zip": ""},"1","21192","5","400","33","10","24","113"
"12531841","JE434121","2021-11-04T17:28:00.000","056XX S MICHIGAN AVE","0560","ASSAULT","SIMPLE","APARTMENT",FALSE,FALSE,"0225","002","20","40","08A","1178117","1867752","2021","2021-11-11T15:51:52.000","41.792425533","-87.622403855",41.792425533,-87.622403855,{"address": "", "city": "", "state": "", "zip": ""},"53","22260","7","403","4","60","24","125"
"12531846","JE434247","2021-11-04T17:00:00.000","009XX W IRVING PARK RD","0560","ASSAULT","SIMPLE","SMALL RETAIL STORE",FALSE,FALSE,"1923","019","46","6","08A","1169204","1926746","2021","2021-11-11T15:51:52.000","41.954507152","-87.653372774",41.954507152,-87.653372774,{"address": "", "city": "", "state": "", "zip": ""},"37","21186","31","577","39","53","5","5"
"12531771","JE434088","2021-11-04T16:30:00.000","016XX S CLARK ST","0560","ASSAULT","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)",FALSE,FALSE,"0131","001","3","33","08A","1175771","1892266","2021","2021-11-11T15:51:52.000","41.859746945","-87.630270643",41.859746945,-87.630270643,{"address": "", "city": "", "state": "", "zip": ""},"8","21194","34","330","26","40","22","94"
"12532759","JE433960","2021-11-04T16:00:00.000","078XX S MAY ST","0560","ASSAULT","SIMPLE","RESIDENCE",FALSE,TRUE,"0612","006","17","71","08A","1170011","1852871","2021","2021-11-11T15:51:52.000","41.751770335","-87.65255922",41.751770335,-87.65255922,{"address": "", "city": "", "state": "", "zip": ""},"17","21554","70","487","31","59","20","230"
"12531766","JE434018","2021-11-04T15:45:00.000","057XX S MICHIGAN AVE","0560","ASSAULT","SIMPLE","SIDEWALK",FALSE,FALSE,"0232","002","20","40","08A","1178137","1866956","2021","2021-11-11T15:51:52.000","41.790240779","-87.622354657",41.790240779,-87.622354657,{"address": "", "city": "", "state": "", "zip": ""},"53","22260","7","403","4","60","24","268"
"12532691","JE433928","2021-11-04T15:30:00.000","070XX S RHODES AVE","0560","ASSAULT","SIMPLE","SCHOOL - PUBLIC GROUNDS",FALSE,FALSE,"0322","003","6","69","08A","1181124","1858439","2021","2021-11-11T15:51:52.000","41.766801004","-87.611664319",41.766801004,-87.611664319,{"address": "", "city": "", "state": "", "zip": ""},"31","21546","67","480","32","60","18","211"
"12531791","JE434125","2021-11-04T15:22:00.000","064XX S KOSTNER AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0813","008","13","65","04A","1148145","1861635","2021","2021-11-11T15:51:52.000","41.776267079","-87.732464532",41.776267079,-87.732464532,{"address": "", "city": "", "state": "", "zip": ""},"23","21867","63","6","15","58","13","271"
"12532428","JE434776","2021-11-04T15:15:00.000","010XX N CENTRAL AVE","0610","BURGLARY","FORCIBLE ENTRY","OTHER (SPECIFY)",FALSE,FALSE,"1511","015","29","25","05","1138817","1906593","2021","2021-11-11T15:51:52.000","41.899812391","-87.765571571",41.899812391,-87.765571571,{"address": "", "city": "", "state": "", "zip": ""},"4","4299","26","671","45","5","25","67"
"12536309","JE439682","2021-11-04T15:00:00.000","022XX S HOMAN AVE","0560","ASSAULT","SIMPLE","APARTMENT",FALSE,TRUE,"1024","010","22","30","08A","1154047","1888888","2021","2021-11-11T15:51:52.000","41.850937797","-87.710103367",41.850937797,-87.710103367,{"address": "", "city": "", "state": "", "zip": ""},"14","21569","32","755","28","57","21","130"
"12532676","JE435051","2021-11-04T15:00:00.000","115XX S PRAIRIE AVE","0560","ASSAULT","SIMPLE","SCHOOL - PUBLIC BUILDING",FALSE,FALSE,"0532","005","9","53","08A","1179978","1828463","2021","2021-11-11T15:51:52.000","41.684569436","-87.616779421",41.684569436,-87.616779421,{"address": "", "city": "", "state": "", "zip": ""},"30","21861","50","229","43","19","10","219"
